url,photo_id,mlsnum,display_order,license_plate_visible,confidence,detected_vehicle_count,vehicles_with_visible_plate,reasoning,error
https://image.ampre.us/SIkQ3FCh5WDtATPSf6ywnZFgsf3aMxjs8eT47e6EaQY/rs:fit:1920:1920/aq:size:512000:25:75/rs:fit/cb:20241114220253/L3Jlc2lkZXMvbGlzdGluZ3MvNTYvMzQvMjEvcC8xNjQyNjU0OC5qcGc,-31815189059,438092RE,59,False,0.95,0,0,"The image shows a patio area with furniture and a pool, but no vehicles are present.",
https://image.ampre.us/unMrKOjr0bW-VzDQb-r8OEQcLsVJWRKdfwijjB9nRTU/rs:fit:1920:1920/aq:size:512000:25:75/wm:.5:ea:.02:0:.225/wmsh:7/wmt:PHNwYW4gZm9yZWdyb3VuZD0nd2hpdGUnIGZvbnQ9JzY4Jz5SRXNpZGVzIDIwMjU8L3NwYW4-/cb:20250812005642/L3Jlc2lkZXMvbGlzdGluZ3MvMTIvODYvOTUvNy9wLzEzMDU1YjNhLTIwODUtNGE1Yy1hNjNhLThkOTAzYzllZjA5MC5qcGc,-31816222055,452506RE,55,False,0.99,0,0,"The image shows a tennis court with no vehicles present, therefore no license plates are visible.",
https://image.ampre.us/f-sHM4Kier2SbucfbtcwsvFn7WGlbHAxu86IXAlS-yY/rs:fit:1920:1920/aq:size:512000:25:75/rs:fit/cb:20250723204348/L3Jlc2lkZXMvcmVzaWRlcy80NS80Ni81Mi9wL3Jlc2lkZXMtNDU0NjUyLTIwLmpwZw,-31817161023,454652RE,23,False,0.95,0,0,"No vehicles are present in the image, therefore no license plates are visible.",
https://image.ampre.us/-Y6n2yDZRDWgLOV4RPIIw0dPTeZlGMCa46L0yETLrtU/rs:fit:1920:1920/aq:size:512000:25:75/rs:fit/cb:20241114210118/L3Jlc2lkZXMvbGlzdGluZ3MvODYvNzMvNzUvcC8xNjc2NjQ5My5qcGc,-31814305011,445347RE,11,False,0.95,0,0,"No vehicles are present in the image, hence no license plates are visible.",
https://image.ampre.us/GTO2OXEQd-BYzkSiL39MYk2xM8p7U8hQqJFiXBfMnB0/rs:fit:1920:1920/aq:size:512000:25:75/rs:fit/cb:20241114220253/L3Jlc2lkZXMvbGlzdGluZ3MvNTYvMzQvMjEvcC8xNjQyNjU0OS5qcGc,-31815189003,438092RE,3,False,0.95,0,0,The image shows a residential area with a pool and no vehicles are present.,
https://image.ampre.us/j3yUP_Dij33rytsytRq65WlbG5AvCvZ-6eitmLVafz4/rs:fit:1920:1920/aq:size:512000:25:75/wm:.5:ea:.02:0:.225/wmsh:7/wmt:PHNwYW4gZm9yZWdyb3VuZD0nd2hpdGUnIGZvbnQ9JzY4Jz5SRXNpZGVzIDIwMjU8L3NwYW4-/cb:20250728145632/L3Jlc2lkZXMvbGlzdGluZ3MvNTQvNjEvMzYvNy9wLzE5YjExY2M1LTgwZDAtNDZjZC1iZTQ5LTY1MmE3OTU2MzNhYS5qcGc,-31818150052,455038RE,52,False,0.95,2,0,"Two vehicles are visible, but the license plate areas are not visible due to the angle and distance of the image.",
https://image.ampre.us/__mDvpfiOLJdR2n3Eh7RFXJsrU6lCGDRcz1nT6oc5ok/rs:fit:1920:1920/aq:size:512000:25:75/rs:fit/cb:20241115031408/L3Jlc2lkZXMvbGlzdGluZ3MvODkvMTkvOTUvcC8xNjg3MjEwOC5qcGc,-31814310001,446472RE,1,False,0.95,0,0,"No vehicles are present in the image, hence no license plates are visible.",
https://image.ampre.us/ebTMzO2E-QlGdMUqsx2tNZmWcG3ulpLkgzKQ77dEy88/rs:fit:1920:1920/aq:size:512000:25:75/rs:fit/cb:20250717141207/L3Jlc2lkZXMvcmVzaWRlcy80NS80NS82MS9wL3Jlc2lkZXMtNDU0NTYxLTM5LmpwZw,-31817160039,454561RE,39,False,0.95,0,0,"No vehicles are present in the image, therefore no license plates can be visible.",
https://image.ampre.us/mw4n8PJBRADpoy2Ye0CSzdrcNEnit-dTKJnhQ6rBp9U/rs:fit:1920:1920/aq:size:512000:25:75/rs:fit/cb:20250601205017/L3Jlc2lkZXMvcmVzaWRlcy8xNy8yNC80My84MS9wLzE3MjQ0MzgxLTQuanBn,-31816222000,452506RE,0,False,0.95,0,0,"No vehicles are present in the image, thus no license plates can be visible.",
https://image.ampre.us/osER6JL4xdpiuWR4-V0oc5KDaU6oIhuxI6SLSUGrjsc/rs:fit:1920:1920/aq:size:512000:25:75/wm:.5:ea:.02:0:.225/wmsh:7/wmt:PHNwYW4gZm9yZWdyb3VuZD0nd2hpdGUnIGZvbnQ9JzY4Jz5SRXNpZGVzIDIwMjU8L3NwYW4-/cb:20250728145629/L3Jlc2lkZXMvbGlzdGluZ3MvNTQvNjEvMzYvNy9wL2U5YmM0MDRmLTg1ZmUtNDk1MC05YWJhLTYyODI2ODY3NWM3Mi5qcGc,-31818150049,455038RE,49,False,0.95,0,0,"The image shows a landscape with trees, water, and houses in the background. No vehicles are visible, so no license plates can be detected.",
https://image.ampre.us/6s7w-W7iQZPiRDwF7tCmUXlkqDKSLGrgoT5BlWHYaRI/rs:fit:1920:1920/aq:size:512000:25:75/rs:fit/cb:20250717141205/L3Jlc2lkZXMvcmVzaWRlcy80NS80NS82MS9wL3Jlc2lkZXMtNDU0NTYxLTAuanBn,-31817160000,454561RE,0,False,0.95,0,0,"No vehicles are present in the image, hence no license plates are visible.",
https://image.ampre.us/sV_dGxjHGVa2cRiPariOvuSuzVwVEERBuDxWJtPapjc/rs:fit:1920:1920/aq:size:512000:25:75/rs:fit/cb:20250601205016/L3Jlc2lkZXMvcmVzaWRlcy8xNy8yNC80My84MS9wLzE3MjQ0MzgxLTMuanBn,-31816222005,452506RE,5,False,0.95,0,0,"The image shows a porch with no vehicles present, hence no license plates are visible.",
